,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
177,Angelica,Seven Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31,Angelica,Seven Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1505,Angelica,Eight Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1504,Angelica,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27,Angelica,Eight Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
209,Angler Restaurant,This Week,Tuesday,-14.0,0.0,16.0,-14.0,-14.0,-30.0,-1.875
210,Angler Restaurant,This Week,Wednesday,-11.0,0.0,14.0,-11.0,-11.0,-25.0,-1.7857142857142858
208,Angler Restaurant,This Week,Thursday,-2.0,-2.0,-4.0,0.0,-0.5,2.0,-0.5
205,Angler Restaurant,This Week,Friday,4.0,7.0,2.0,-3.0,-0.42857142857142855,2.0,1.0
206,Angler Restaurant,This Week,Saturday,3.0,0.0,4.0,3.0,3.0,-1.0,-0.25
207,Angler Restaurant,This Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42,Angler Restaurant,This Week,Full Week,-20.0,5.0,32.0,-25.0,-5.0,-52.0,-1.625
1534,Angler Restaurant,Next Week,Monday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
